,artist_name,title
6352,Marilyn Horne,"Rinaldo : Act 3 ""Or la tromba in suon festante"" [Rinaldo]"
4784,Barry Manilow Featuring The Glenn Miller Orchestra with Debra Byrd,Don't Sit Under The Apple Tree
1831,Christian Quast,You Are!
4842,Little Capes,Like A Freza
4621,Mick Moloney,Bodhr\xc3\xa1n Solo
6440,Randy Stonehill,Can't Buy A Miracle - Album Version
676,The Radio Dept.,Closing Scene
5302,Imiskoubria,O Dikos Sou DJ
6463,Renee Rosnes,Children's Song No. 3
539,Erkki Junkkarinen,Rakkauden satu - Histoire d'un Amour -
2850,Static-X,Love Dump (Demo Version)
7587,Gran Coquivacoa,Gaita Pueblera
5372,Cracker,My Life Is Totally Boring Without You
5753,Maurice Chevalier / Fran\xc3\xa7oise Dorin / Marina Hottine / Suzanne Gabriello / Jo Charrier / Marcel Carpentier / Perrette Souplex / Andree Grandjean / Cadet Rivers / Raymond Girerd / Orchestre De Jacques-Henri Rys / Jacques Henri Rys,Dialogue et final si j'avais su
4099,"Ricky Martin Feat. La Mari de ""Chambao",Tu Recuerdo
6133,Geiom Feat. Marita,Reminissin'
682,THE CHIFFONS,Doctor Of Hearts (Album Version)
10030,Cowboy Mouth,My Little Blue One
7151,Ghost Machine,What You Made Me (Ugli)
8258,Arctique,Kyana
9996,Joe Bonamassa,I Know A Place
2349,K.T. Oslin,The Legionnaire
4740,The Irish Rovers,Up Among The Heather
9585,The Pharcyde,The Climb/Paranoia
5047,DJ Phiene,Bass Fanactiks
10020,Dungeon Family,Follow The Light
2063,The Jackson Southernaires,Lord We Give You All The Praise
8343,The Jordanaires,You Gave Me A Mountain
6690,Twila Paris,I'll See You Sunday
8947,Steel Rain,Sanity Fades
421,Lisa Lynne,Isla del Luna
2778,Korn,Proud
4725,Irwin Goodman,Raha ratkaisee
5049,D:Fuse vs The Scumfrog,Stereo + Video
8428,Kiprich,Hot Girls
3437,Phantomsmasher,Bishop Hopping
5689,Jimmy Page_ John Paul Jones_ Albert Lee_ Nicky Hopkins_ Big Jim Sullivan_ Clem Cattini_ Chris Hughes,Livin' Lovin' Wreck
351,Xcultures,Smile
4073,Roger Subirana,Un Res Pyr
6730,Terror Squad featuring Big Pun,Watcha Gon Do?  (Explicit LP Version)
5647,Spinal Tap,Big Bottom
135,Sierra Maestra,\xc2\xbfD\xc3\xb3nde va Chichi?
8462,Nick Ingman,Kumal & Sangha
1613,Nichols,Dirty tarraxa 2 (feat. Neuza)
9417,Nikos Kalaintzis,Chira
139,Jacob Young,In A Subtle Way
4919,The Paul Butterfield Blues Band,Thank You Mr. Poobah ( Remastered 97' Version )
3565,Grant Geissman,Chaco (Album Version)
1860,Beyonc\xc3\xa9,Be With You
2404,A-Studio,S.O.S.
3823,Little Eva,Up On The Roof (LP Version)
8384,Irma Thomas,We All Need Love
5093,Shriekback,The Strongest Wind That Blows
8227,Faith Hill,Better Days (Album Version)
3132,Lee Ritenour,Is It You?
8038,Kitty Kallen,Mother_ Mother_ Mother_ Pin A Rose On Me
3139,Raphael,Cantares
9755,Walter Jackson,My Ship Is Comin' In
2645,Bob Sinclar,"Lala Song (Matesi DJ ""Silverstatix""remix"
2692,Rick Ross,They Know (Remix)
1288,Stelios Dionisiou,To Sinnefo
8066,Busdriver,Unemployed Black Astronaut
6177,Sandra Mihanovich,Cuatro Estrofas
207,Ellen McIlwaine,Spontanous Combustion
1415,Hassan Annouri feat. Cassandra Steen,Wahrheit
8287,Marygold,Restcure
2853,Smart Alex,Chinz Ninja (Rui Da Silva mix)
9853,Mary Black,Flesh And Blood
6331,ARRESTED DEVELOPMENT,Raining Revolution (Live) (Unplugged)
2976,Wolfmother,Dimension
5423,Black Sheep,Novakane Groove
899,Deborah Allen,I Will Always Love You
3670,The James Taylor Quartet,The Obsession
2994,Gabinete Caligari,Caray!
3027,Babbie Mason,Isn't That Just Like God (Medium Key Performance Track Without Background Vocals)
8278,North Mississippi Allstars,2StepN
1071,The Winans,Free (Album Version)
6787,Mobb Deep,Hell On Earth (Front Lines)
8675,Hound Dog Taylor and The Houserockers,Take Five - Live
2120,Cockney Rejects,Big Time Charlie
9154,Necrodaemon,The last havoc
1052,Far Too Jones,Use Me
5459,Loudon Wainwright III,Rowena
3957,William Goldstein,Bartholdi's Dream
5961,Jack Off Jill,Yellow Brick Road
3245,Patsy Cline,I Cried All The Way To The Altar
3405,The London Pops Orchestra,Moon River
3106,Taboo,Dab_dab_doo-Party In The Jungle
9101,The Del McCoury Band,High On the Mountain
7870,David Summers,Tu Mejor Amigo
7538,Dells,Why Do You Have to Go
8042,Streetwize,U Don't Have To Call
9338,Barbara Lusch,Bonita
1156,Mudhoney,Between Me & You Kid (Album Version)
3254,Angel Romero,Prelude No. 2 (2000 Digital Remaster)
3887,Gene Chandler,Festival Of Love
9289,T.G. Sheppard,You're My First Lady
7925,RUN-DMC,Jam-Master Jammin'
7639,Big Star,Thirteen [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973]
7331,Prince & Tevin Campbell,Round and Round ( LP Version )
864,John Mayall & The Bluesbreakers,Crawling Up A Hill - version 2 - mono_ live
5119,Terry Muska,Lagrima
5003,Don & Juan,Are You Putting Me On The Shelf
8193,Blue Rodeo,Fools Like You
6943,Devanic,You Live_ You Die
2265,UFO,Out In The Street (Live In Cleveland_ Ohio)
1962,The Police,Wrapped Around Your Finger
7950,Gus Viseur,Gracieusette
9223,Tranzas,Serenata
2440,Ronnie Milsap,Why Don't You Spend The Night
5627,Deborah Allen,In The Sweet By And By
6843,Steve Riley & The Mamou Playboys,Katherine
4103,Ten Wheel Drive,No Next Time
1223,R. Kelly & Jay Z,Honey
8809,Manuel & The Music Of The Mountains,Umbrellas Of Cherbourg
4149,Mikey Dread,Have you got a Minute to spare
7740,DJ X-Change,Shawty Say
865,Luiz Bonfa,A Brazilian in New York
2444,EPMD,Mr. Bozack
4171,John Mayer,Who Did You Think I Was
7316,Doyle Bramhall,Chateau Strut
4316,Flame,Don't Stop
8052,Hal Russell,For Free
6070,George Nooks,Your Love (Got a Hold of Me) instrumental
3450,Converge,Dark Horse
4795,Aynsley Lister,Crazy
3499,Elli Kokkinou,Sex (French Version)
