,song_id,artist_name,title
0,SOMZWCG12A8C13C480,Casual,I Didn't Mean To
1,SOCIWDW12A8C13D406,The Box Tops,Soul Deep
2,SOXVLOJ12AB0189215,Sonora Santanera,Amor De Cabaret
3,SONHOTT12A8C13493C,Adam Ant,Something Girls
4,SOFSOCN12A8C143F5D,Gob,Face the Ashes
5,SOYMRWW12A6D4FAB14,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version)
6,SOMJBYD12A6D4F8557,Rated R,Keepin It Real (Skit)
7,SOHKNRJ12A6701D1F8,Tweeterfriendly Music,Drop of Rain
8,SOIAZJW12AB01853F1,Planet P Project,Pink World
9,SOUDSGM12AC9618304,Clp,Insatiable (Instrumental Version)
10,SOQHXMF12AB0182363,JennyAnyKind,Young Boy Blues
11,SOKEJEJ12A8C13E0D0,Wayne Watson,The Urgency (LP Version)
12,SOMUYGI12AB0188633,Andy Andy,La Culpa
13,SORAMLE12AB017C8B0,Bob Azzam,Auguri Cha Cha
14,SOBONFF12A6D4F84D8,Lionel Richie,Tonight Will Be Alright
15,SOHUOAP12A8AE488E9,Blue Rodeo,Floating
16,SOUQQEA12A8C134B1B,Richard Souther,High Tide
17,SOILPQQ12AB017E82A,Faiz Ali Faiz,Sohna Nee Sohna Data
18,SOXLBJT12A8C140925,Tesla,Caught In A Dream
19,SOZVMJI12AB01808AF,lextrical,Synthetic Dream
20,SOWTBJW12AC468AC6E,Jimmy Wakely,Broken-Down Merry-Go-Round
21,SOBEBDG12A58A76D60,Alice Stuart,Kassie Jones
22,SOZCTXZ12AB0182364,Elena,Setanta matins
23,SOBBUGU12A8C13E95D,The Dillinger Escape Plan,Setting Fire to Sleeping Giants
24,SOBLGCN12AB0183212,SUE THOMPSON,James (Hold The Ladder Steady)
25,SOPSWQW12A6D4F8781,Five Bolt Main,Made Like This (Live)
26,SOZQDIU12A58A7BCF6,Clp,Superconfidential
27,SONYPOM12A8C13B2D7,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell)
28,SOBZBAZ12A6D4F8742,Willie Bobo,Spanish Grease
29,SOVYKGO12AB0187199,Faye Adams,Crazy Mixed Up World
30,SOGNCJP12A58A80271,Terry Callier,Do You Finally Need A Friend
31,SOLLHMX12AB01846DC,John Wesley,The Emperor Falls
32,SOYTPEP12AB0180E7B,The Shangri-Las,Twist and Shout
33,SOGXHEG12AB018653E,Billie Jo Spears,It Makes No Difference Now
34,SOOLYAZ12A6701F4A6,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version)
35,SOGOSOV12AF72A285E,Sierra Maestra,\xc2\xbfD\xc3\xb3nde va Chichi?
36,SOJXVAH12A8C139700,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")"
37,SOVXMTN12A8C135A18,Despina Vandi,OUTE ENA EFHARISTO
38,SORSECL12AB0182267,Javier Navarrete,Midnight Swim
39,SOOGFBZ12AC3DF7FF2,Jacob Young,In A Subtle Way
40,SOMSBGZ12AB018C4CB,Scarlet's Remains,Spin
41,SONYRZV12AB018AF70,The Suicide Machines,Burning In The Aftermath
42,SONQBUB12A6D4F8ED0,The Rolling Stones,Angie (1993 Digital Remaster)
43,SOHGKJW12AC468A8BD,Roberto Torres,Sabor Guajiro
44,SOINBCU12A6D4F94C0,Loudon Wainwright III,Human Cannonball
45,SOTWVQT12A58A79650,R.L. Burnside,Glory Be
46,SOTSEJY12AB0180F56,Stevie Ray Vaughan,Crossfire
47,SOTSETT12AB01863B8,John Hammond,I Can't Be Satisfied
48,SOTUNMH12A6D4FA3E6,Casiotone For The Painfully Alone,Nashville Parthenon
49,SOEPPKB12AB018418B,Ec8or,Cocain Ducks
50,SOGKIWV12A6D4F86C4,The New York Dolls,Human Being
51,SOPHYIS12AAF3B35A3,Eliane Elias,The More I See You
52,SOFHBAR12A6701D0FE,Lost Boyz,Certain Things We Do
53,SOCPRKM12AB018A2FD,The Germs,Forming
54,SOFGHAM12AB0186412,Yamandu Costa,Mafu\xc3\xa1
55,SODHVES12A6701CE6B,Chris Rea,Driving Home For Christmas
56,SOXIATP12AAF3B2184,Perrey And Kingsley,Spooks In Space
57,SOGNQWU12A8AE4868F,Eurythmics,Tous Les Gar\xc3\xa7ons Et Les Filles
58,SOYQOFI12A6D4F76E1,Francis Dunnery,Too Much Saturn
59,SOVOLGY12A6D4F822B,John Cale,Movement 4 [from Kiss] (Album Version)
60,SOMZCVH12AB0182B8E,Suzanne Ciani,Stream
61,SONXJBL12AAF3B2C0C,Vickie Winans,Make Me Over
62,SOYWZTU12AB0180E26,The Berzerker,Deform (live)
63,SOLGHDZ12AB0183B11,Kings Of Leon,Wicker Chair
64,SOTNTNJ12AAA15FBD6,Edith Lefel,An ti chans'
65,SOXZXXV12AAF3B3A67,Taras,I Will Love Again (JJ's Club Radio)
66,SOPIKEG12A58291636,NOFX,Stickin In My Eye
67,SOIRNBO12AC468D207,Murskahumppa,Ota kiinni
68,SOSBDSF12AB0189007,Soda Stereo,Entre Can\xc3\xadbales
69,SOIJXXM12A8C1416D6,Bruce Rowland,Rosemary Recalls
